Factor ID,Meal Name,Dutch name,Danish name,DE Name,Swedish name,Internal SKU (Dutch),Internal SKU (NOR),Internal SKU (DE)
"FE0130E","Rice bowl with pulled chicken and taco spices","Rijstbowl met pulled chicken en tacokruiden","Ris bowl med pulled chicken og tacokrydderier","Reis-Bowl mit Pulled Chicken im Taco-Stil","","CON-40-143737-4","CON-00-147820-2","CON-00-136635-3"
"FE0131C","Black bean bowl and enchilada sauce","Zwarte bonenbowl en enchiladasaus","Mexikansk-inspireret bønnebowl","Black Bean Bowl mit Enchiladasauce","Mexikansk-inspirerad bönbowl","CON-40-143757-4","CON-00-147822-2","CON-00-136625-3"
"FE0131D","Black bean bowl and enchilada sauce","Zwarte bonenbowl en enchiladasaus","Bowl med sorte bønner og enchiladasauce","Black-Bean-Bowl mit Enchilada-Soße","","CON-40-143757-4","CON-00-147822-2","CON-00-136625-3"
"FE0160C","Beef Shepherd's Pie","Shepherd's Pie met rundvlees","Shepherd's Pie med oksekød","Shepherd’s Pie mit Rindfleisch","","CON-40-143670-4","CON-00-147823-2","CON-00-137164-3"
"FE0169H","Pork tenderloin in creamy garlic-mustard sauce","Varkenshaas in romige knoflook-mosterdsaus","Svinemørbrad i cremet hvidløg-sennepssauce","Schweinefilet in cremiger Knoblauch-Senf-Sauce","Fläskfilé i krämig vitlöks- och senapssås","CON-40-143739-4","CON-00-147824-2","CON-00-136637-3"
"FE0169I","Pork tenderloin in creamy garlic-mustard sauce","Varkenshaas in romige knoflook-mosterdsaus","Svinemørbrad i cremet hvidløgs- og sennepssauce","Schweinefilet in cremiger Knoblauch-Senf-Sauce","","CON-40-143739-4","CON-00-147824-2","CON-00-136637-3"
"FE0183E","Garlic & Herb Chicken Breast","Kipfilet met knoflook en kruiden","Hvidløgs- & krydderurtekyllingebryst","Hähnchenbrustfilet mit Knoblauch und Kräutern","","CON-40-149002-4","CON-00-149001-2","CON-00-149000-2"
"FE0198D","Spicy chicken with jalapeño, lime and cheddar","Pittige kipfilet met jalapeño, limoen en cheddar","Spicy kylling med jalapeño, lime og cheddar","Würziges Hähnchen mit Jalapeño, Limette und Cheddar","","CON-40-143710-4","CON-00-147826-2","CON-00-136638-3"
"FE0198E","Spicy chicken with jalapeño, lime and cheddar","Pittige kipfilet met jalapeño, limoen en cheddar","Spicy kylling med jalapeño, lime og cheddar","Pikantes Hähnchen mit Jalapeño, Limette und Cheddar","","CON-40-143710-4","CON-00-147826-2","CON-00-136638-3"
"FE0207I","Chicken in creamy spinach","Kipfilet in romige spinazie","Kylling i cremet spinat","Hähnchen in Spinat-Creme","Kyckling i krämig spenat","CON-40-143689-4","CON-00-147825-2","CON-00-136619-3"
"FE0224C","Chicken à la Florentine","Kipfilet à la Florentine","Kylling à la Florentine","Hähnchen à la Florentine","","CON-40-143681-4","CON-00-147827-2","CON-00-136620-3"
"FE0224D","Chicken à la Florentine","Kipfilet à la Florentine","Kylling à la Florentine","Hähnchen à la Florentine","","CON-40-143681-4","CON-00-147827-2","CON-00-136620-3"
"FE0230D","Italian style chickpea bowl","Kikkererwtenbowl op Italiaanse wijze","Italiensk kikærtebowl","Kichererbsen-Bowl „Italian Style""","Italiensk kikärtsbowl","CON-40-143673-4","CON-00-147828-2","CON-00-136642-3"
"FE0232D","Chicken in Italian herbs and Parmesan cheese","Kipfilet in Italiaanse kruiden en Parmezaanse kaas","Kylling i italienske krydderurter og parmesanost","Hähnchen in italienischen Kräutern und Parmesan","Kyckling med italienska örter och parmesanost","CON-40-143687-4","CON-00-147829-2","CON-00-136644-3"
"FE0257D","Greek style ground beef and feta","","Græsk-inspireret oksekød med feta","Hackfleisch nach griechischer Art mit Feta","","CON-40-143667-4","CON-00-147830-2","CON-00-136616-3"
"FE0262C","Braised Beef Pasta & Roasted Red Pepper","Macaroni met gestoofd rundvlees en rode paprika","Mac and Cheese med langtidsstegt oksekød og peberfrugt","Geschmorte Rindfleisch-Pasta & geröstete rote Paprika","","CON-40-152014-4","CON-00-152040-2","CON-00-152035-2"
"FE0271B","Cranberry Chicken","Kipfilet in cranberrysaus","Kylling i tranebærsauce","Cranberry-Hähnchen","Kyckling i tranbärssås","CON-40-143686-4","CON-00-147831-2","CON-00-136669-3"
"FE0281D","Spicy citrus salmon","Pittige citrus-zalm","Krydret citruslaks","Würziger Zitronenlachs","Het citronlax","CON-40-143708-4","CON-00-147833-2","CON-00-136683-3"
"FE0281E","Spicy citrus salmon","Pittige citrus-zalm","Krydret citruslaks","Würziger Zitronenlachs","Het citronlax","CON-40-143708-4","CON-00-147833-2","CON-00-136683-3"
"FE0322O","Sour Cream & Chive Chicken","Kip met zure room en bieslook","Kylling med syrnet fløde og purløg","Hähnchen mit Sauerrahm und Schnittlauch","","CON-40-149479-4","CON-00-149481-2","CON-00-149480-2"
"FE0332B","North African style chicken fillet","Noord-Afrikaanse stijl kipfilet","Nordafrikansk-inspireret kyllingefilet","Hähnchenfilet nach nordafrikanischer Art","Nordafrikansk kycklingfilé","CON-40-143703-4","CON-00-147835-2","CON-00-136645-3"
"FE0336B","Chicken and Basil Pasta","Pasta met kip en basilicum","Pasta med kylling og basilikum","Hähnchen-Basilikum-Pasta","","","",""
"FE0384K","Chive & Garlic Chicken","Kip met bieslook en knoflook","Kylling med purløg og hvidløg","Hähnchenbrust mit Schnittlauch und Knoblauch","","CON-40-152010-4","CON-00-152027-2","CON-00-152028-2"
"FE0386A","Chicken & Mushroom Tetrazzini","Kip-tetrazzini met champignons","Tetrazzini med kylling og svampe","Hähnchen-Pilz-Tetrazzini","","CON-40-168678-4","CON-00-168677-2","CON-00-168676-2"
"FE0401F","Pulled chicken with cheddar and bacon","Pulled chicken met cheddar en spek","Pulled chicken med cheddar og bacon","Pulled Chicken mit Cheddar und Speck","","CON-40-143715-4","CON-00-147836-2","CON-00-136648-3"
"FE0410C","Honey-mustard chicken","Honing-mosterd kip","Kylling med honning og sennep","Honig-Senf-Hähnchen","Kyckling i honung- och senapssås","CON-40-143671-4","CON-00-147838-2","CON-00-136646-3"
"FE0412C","Mujadara rice bowl","Mujadara rijstbowl","Mujadara ris bowl","Reis-Bowl ""Mujadara""","Mujadara risbowl","CON-40-143702-4","CON-00-147837-2","CON-00-136702-3"
"FE0413F","Braised beef in herby jus","Gestoofd rundvlees in kruidige jus","Braiseret oksekød i urtesauce","Geschmortes Rindfleisch in Kräuterjus","Bräserad biff i örtsky","CON-40-143665-4","CON-00-147839-2","CON-00-136698-3"
"FE0413G","Braised beef in herby jus","Gestoofd rundvlees in kruidige jus","Braiseret oksekød i urtesky","Geschmortes Rind in Kräuterjus","","CON-40-143665-4","CON-00-147839-2","CON-00-136698-3"
"FE0426B","Grilled chicken fillet and potato leek mash","Gegrilde kipfilet en aardappel-preipuree","Grillet kyllingefilet og kartoffel-porremos","Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree","Grillad kycklingfilé med potatis- och purjolöksmos","CON-40-143659-4","CON-00-147840-2","CON-00-136649-3"
"FE0426C","Grilled chicken fillet and potato leek mash","Gegrilde kipfilet en aardappel-preipuree","Grillet kyllingefilet og kartoffel-porremos","Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree","","CON-40-143659-4","CON-00-147840-2","CON-00-136649-3"
"FE0430C","Pork tenderloin in red pepper sauce","Varkenshaas in rode paprikasaus","Svinemørbrad i rød peberfrugtsauce","Schweinefilet in Paprika-Sauce","Fläskfilé i paprikasås","CON-40-143738-4","CON-00-147848-2","CON-00-136639-3"
"FE0430E","Pork tenderloin in red pepper sauce","Varkenshaas in rode paprikasaus","Svinemørbrad i rød peberfrugtsauce","Schweinefilet in Paprikasauce","","CON-40-143738-4","CON-00-147848-2","CON-00-136639-3"
"FE0468A","Chicken Tikka Masala","Kip Tikka Masala","Chicken Tikka Masala","Hähnchen Tikka Masala","","","",""
"FE0472B","Indian style butter chicken","Indiase stijl butter chicken","Indisk-inspireret butter chicken","Indisches Butterhuhn","Indisk-inspirerad butter chicken","CON-40-143711-4","CON-00-147844-2","CON-00-136623-3"
"FE0485F","Rosemary-tomato shredded chicken","Tomaat-rozemarijn pulled chicken","Kyllingestrimler med rosmarin og tomat","Rosmarin-Tomaten-Hähnchen","Stimlad kyckling med rosmarin och tomat","CON-40-143731-4","CON-00-147845-2","CON-00-138005-2"
"FE0516A","Sun-dried tomato trottole","Trottole in zongedroogde tomatensaus","Trottole i soltørret tomatsauce","Trottole mit getrockneten Tomaten","Trottole i sås på soltorkade tomater","CON-40-143733-4","CON-00-147846-2","CON-00-136721-3"
"FE0517B","Apricot-mustard chicken","Abrikoos-mosterd kip","Abrikos-sennep kylling","Aprikosen-Senf-Hähnchen","","CON-40-143672-4","CON-00-147847-2","CON-00-136682-3"
"FE0565D","Pork tenderloin with caramelized onion","Varkenshaas met gekaramelliseerde ui","Svinemørbrad med karameliseret løg","Schweinefilet mit karamellisierten Zwiebeln","","CON-40-143745-4","CON-00-147849-2","CON-00-136655-3"
"FE0565E","Pork tenderloin with caramelized onion","Varkenshaas met gekaramelliseerde ui","Svinefilet med karamelliserede løg","Schweinefilet mit karamellisierten Zwiebeln","","CON-40-143745-4","CON-00-147849-2","CON-00-136655-3"
"FE0580G","Chicken & Creamy Broccoli Grits","Kipfilet met romige broccolirijst","Kylling & cremet broccoli grits","Hähnchen mit cremigem Brokkoli-Grieß","","CON-40-148856-4","CON-00-148857-2","CON-00-148858-2"
"FE0612C","Minced beef dish with cheese sauce","Rundergehaktschotel met kaassaus","Hakket oksekødsret med ostesauce","Rindhackfleisch mit Käsesauce","Köttfärsrätt med ostsås","CON-40-143751-4","CON-00-147851-2","CON-00-136713-3"
"FE0612D","Ground Beef & Mushroom Skillet","Rundergehakt met champignons","Stegt hakket oksekød med svampe","Rinderhack-Pfanne mit Pilzen","","CON-40-143751-4","CON-00-147851-2","CON-00-136713-3"
"FE0628C","Mushroom Chicken & Rice","Kip met champignons & rijst","Kylling med svampe og ris","Hähnchen mit Pilzen & Reis","","CON-40-143677-4","CON-00-147853-2","CON-00-138294-2"
"FE0651B","BBQ Chickpeas & Roasted Cabbage","BBQ- kikkererwten & geroosterde kool","BBQ-kikærter og ristet kål","BBQ-Kichererbsen und Röst-Kohl","BBQ-kikärtor och rostad kål","CON-40-143685-4","CON-00-147852-2","CON-00-136680-3"
"FE0673B","Thai style chicken and peanut sauce","Thaise stijl kip en pindasaus","Thai-inspireret kylling med peanutsauce","Thai-Style Hähnchen in Erdnusssauce","","CON-40-143730-4","CON-00-151055-2","CON-00-136656-3"
"FE0689A","Keema-inspired Beef Curry","Keema-stijl rundercurry","Keema-inspireret oksecurry","Keema-inspiriertes Rindercurry","","CON-40-154570-4","CON-00-154998-2","CON-00-154999-2"
"FE0713B","Cabbage in cheese sauce with minced beef","Rundvlees met gesmolten kaas en kool","Kål i ostesauce med hakket oksekød","Wirsing in Käsesauce mit Hackfleisch","","CON-40-143695-4","CON-00-147854-2","CON-00-136671-3"
"FE0745B","Beef with cauliflower mash","Rundvlees met bloemkoolpuree","Oksekød med blomkålsmos","Rindfleisch mit Blumenkohlpüree","Nötkött med blomkålsmos","CON-40-143726-4","CON-00-147855-2","CON-00-136718-3"
"FE0746A","Spicy ground beef with jalapenos","Pittig rundergehakt met jalapeno's","Krydret hakket oksekød med jalapenos","Scharfes Rinderhack mit Jalapeños","Het nötfärs med jalapenos","CON-40-143706-4","CON-00-147857-2","CON-00-136694-3"
"FE0746B","Spicy ground beef with jalapenos","Pittig rundergehakt met jalapeno's","Spicy hakket oksekød med jalapeños","Pikantes Hackfleisch mit Jalapeño","","CON-40-143706-4","CON-00-147857-2","CON-00-136694-3"
"FE0778C","Creamy pesto pasta","Pasta in romige pestosaus","Cremet pesto pasta","Cremige Pesto-Pasta","Krämig pasta pesto","CON-40-143704-4","CON-00-147859-2","CON-00-136729-3"
"FE0780E","Trottole bolognese","Trottole bolognese","","Trottole Bolognese","","CON-40-143732-4","CON-00-147858-2","CON-00-136722-3"
"FE0794D","Loaded Bacon Shredded Chicken","Loaded pulled chicken & spek","Pulled chicken med bacon","Pulled Chicken mit Bacon","","CON-40-147981-4","CON-00-150821-2","CON-00-147983-2"
"FE0815F","Charred Corn & Pulled Chicken Trottole","Trottole met geroosterde maïs en pulled chicken","Trottole-pasta med pulled chicken og grillet majs","Trottole mit geröstetem Mais & Pulled Chicken","","","",""
"FE0833F","Tabbouleh Rice & Grilled Chicken","Tabouleh rijst & gegrilde kipfilet","Tabbouleh-ris & grillet kylling","Tabbouleh-Reis & Gegrilltes Hähnchen","","CON-40-150542-4","CON-00-150541-2","CON-00-150540-2"
"FE0849A","Courgette-spaghetti bolognese","Courgette-spaghetti bolognese","Squash-spaghetti bolognese","Zucchini-Spaghetti Bolognese","Zucchini-spaghetti bolognese","CON-40-143654-4","CON-00-147860-2","CON-00-136657-3"
"FE0849B","Courgette-spaghetti bolognese","Courgette-spaghetti bolognese","Zucchini-spaghetti bolognese","Zucchini-Spaghetti Bolognese","","CON-40-143654-4","CON-00-147860-2","CON-00-136657-3"
"FE0890B","Pork tenderloin with apple-mustard sauce","Varkenshaas met appel-mosterdsaus","Svinemørbrad med æble-sennepssauce","Schweinefilet mit Apfel-Senf-Soße","Fläskfilé med äppel- och senapssås","CON-40-143741-4","CON-00-147861-2","CON-00-136726-3"
"FE0890C","Pork tenderloin with apple-mustard sauce","Varkenshaas met appel-mosterdsaus","Svinemørbrad med æble-sennepssauce","Schweinefilet mit Apfel-Senf-Soße","","CON-40-143741-4","CON-00-147861-2","CON-00-136726-3"
"FE0899A","Santa Fe pulled chicken & queso","Santa Fe pulled chicken & queso","Santa Fe-inspireret pulled kylling med queso-os","Santa Fe Pulled Chicken mit Queso","","CON-40-148198-4","CON-00-148195-2","CON-00-148194-2"
"FE0928A","Salmon with coriander rice","Zalm met koriander-rijst","Laks med korianderris","Lachs mit Korianderreis","Lax med korianderris","CON-40-143753-4","CON-00-147862-2","CON-00-136704-3"
"FE0935A","Vegetarian stew with white beans","Vegetarische stoof met witte bonen","Vegetarisk gryderet med hvide bønner","Vegetarischer Bohnen-Eintopf","Vegetarisk gryta med vita bönor","CON-40-143749-4","CON-00-147863-2","CON-00-136660-3"
"FE0943C","Creamy kale pork tenderloin","Romige boerenkool varkenshaas","Cremet grønkål og svinemørbrad","Schweinefilet mit cremigem Grünkohl","","CON-40-148783-4","CON-00-148784-2","CON-00-148785-2"
"FE0959A","Creamy Pistou Pork Tenderloin","Romige pistou varkenshaas","Svinefilet i cremet pistou-sauce","Schweinefilet mit cremigem Pistou","","CON-40-155463-4","CON-00-155388-2","CON-00-155387-2"
"FE0962B","Apricot Smothered Pork Tenderloin","Varkenshaas in abrikozenjus","Svinefilet i abrikossauce","Schweinefilet mit Aprikosenglasur","","CON-40-154569-4","CON-00-155002-2","CON-00-155003-2"
"FE0970B","Caramelized Onion & Emmental Fondue Chicken","Kipfilet in Emmentalerfondue & gekaramelliseerde ui","Kylling i Emmental-fondue med karamelliseret løg","Hähnchen mit karamellisierten Zwiebeln & Emmentaler-Fondue","","CON-40-148197-4","CON-00-148196-2","CON-00-148220-2"
"FE0972B","Salmon Piccata","Zalm in piccata-saus","Laks Piccata","Lachs Piccata","","CON-40-152011-4","CON-00-152023-2","CON-00-152025-2"
"FE1031A","Salmon Dijonnaise","Zalm Dijonnaise","Laks med dijonnaise","Lachs Dijonnaise","","CON-40-152015-4","CON-00-152030-2","CON-00-152029-2"
"FE1068A","Moroccan-style chicken thighs & tomato sauce","Marokkaanse stijl kippendij & tomatensaus","Marokkansk-inspirerede kyllingeoverlår i tomatsauce","Marokkanisches Hähnchen in Tomatensauce","","CON-40-152013-4","CON-00-152034-2","CON-00-152033-2"
"FE1068B","Moroccan-style chicken thighs & tomato sauce","Marokkaanse stijl kippendij & tomatensaus","Marokkansk-inspirerede kyllingelår med tomatsauce","Hähnchen nach marokkanischer Art mit Tomatensauce","","CON-40-152013-4","CON-00-152034-2","CON-00-152033-2"
"FE1072B","Pork tenderloin in spicy ancho chili sauce","Varkenshaas in pittige ancho chili-saus","Svinemørbrad i ancho- og chilisauce","Schweinefilet in würziger Ancho-Chili-Sauce","","CON-40-143777-4","CON-00-147864-2","CON-00-136696-3"
"FE1077A","Pulled chicken cacciatore","Pulled chicken cacciatore","Pulled Chicken Cacciatore","Pulled Chicken Cacciatore","","CON-40-148523-4","CON-00-148524-2","CON-00-148525-2"
"FE1131D","Tex-Mex Style Chicken Thigh Tinga","Tex-Mex stijl pulled chicken","Tinga-style Tex-Mex-kyllingelår","Tex-Mex Hähnchen-Tinga","","CON-40-149988-4","CON-00-149990-2","CON-00-149989-2"
"FE1145B","Roasted Salmon & Dill Yogurt","Gegrilde zalm met dille-yoghurtsaus","Ovnbagt laks med dild-yoghurtsauce","Ofengerösteter Lachs & Dill-Joghurt","","CON-40-151095-4","CON-00-151098-2","CON-00-151097-2"
"FE1203A","Citrus Mojo Chicken Breast","Kipfilet met citrus-mojosaus","Citrus-mojo kyllingebryst","Hähnchenbrust mit Citrus-Mojo-Sauce","","CON-40-158245-4","CON-00-158244-2","CON-00-158243-2"
"FE1320C","Ají Verde Salmon","Zalm met Aji Verde-saus","Laks med aji verde","Ají Verde Lachs","","CON-40-151277-4","CON-00-151279-2","CON-00-151278-2"
"FE1345A","Pulled beef & pasta in cheese sauce","Pulled beef & pasta in kaassaus","Pulled beef & pasta i ostesauce","Pulled Beef und Pasta in Käsesauce","","CON-40-148337-4","CON-00-148371-2","CON-00-148373-2"
"FE1346B","Parmesan & Garlic Cream Pulled Beef","Romige parmezaan-knoflook pulled beef","Pulled beef med cremet parmesan og hvidløg","Pulled Beef in Parmesan-Knoblauch-Creme","","CON-40-150387-4","CON-00-150389-2","CON-00-150388-2"
"FE1348B","Cheddar & Bell Pepper Pulled Beef Bowl","Cheddar & paprika pulled beef bowl","Pulled beef bowl med cheddar og peberfrugt","Pulled-Beef-Bowl mit Cheddar und Paprika","","CON-40-151113-4","CON-00-151115-2","CON-00-151114-2"
"FE1351C","Cheddar & Red Pepper Chicken Thigh Pasta","Pasta met kippendij, cheddar & rode paprika","Pulled chicken med pasta, cheddar og rød peberfrugt","Pasta mit Hähnchen, Cheddar und roter Paprika","","CON-40-151282-4","CON-00-151280-2","CON-00-151281-2"
"FE1367B","Thai-Style Grilled Chicken Bowl","Kip met pindasaus in Thaise stijl","Kylling med thai-inspireret peanutsauce","Hähnchen mit Thai-Style-Erdnusssauce","","CON-40-150844-4","CON-00-150846-2","CON-00-150845-2"
"FE1398A","Indian-Style Chicken Curry","Indiase-stijl curry met kip","Indisk-inspireret kyllingecurry","Indisches Hähnchen-Curry","","CON-40-149082-4","CON-00-149083-2","CON-00-149084-2"
"FE1399A","Massaman Curry Chicken Breast","Massaman-curry met kipfilet","Massaman-karry med kylling","Massaman-Curry-Hähnchenbrust","","CON-40-152020-4","CON-00-152046-2","CON-00-152044-2"
"FE1403A","Chicken Biryani","Kip biryani","Chicken Biryani","Hähnchen Biryani","","CON-40-155919-4","CON-00-155918-2","CON-00-155917-2"
"FE1404A","Bulgogi Shredded Beef Bowl","Pulled beef in Koreaanse stijl Bulgogi saus","Bulgogi bowl med strimlet oksekød","Bulgogi-Bowl mit geschmortem Rindfleisch","","CON-40-150962-4","CON-00-150964-2","CON-00-150963-2"
"FE1404B","Bulgogi Pulled Beef Bowl","Bulgogi pulled beef bowl","Bulgogi-bowl med pulled beef","Bulgogi Bowl mit Pulled Beef","","CON-40-150962-4","CON-00-150964-2","CON-00-150963-2"
"FE1408B","Chicken Vindaloo & Cumin Potatoes","Kip Vindaloo met aardappelen met komijn","Kylling vindaloo med spidskommenkartofler","","","CON-40-154562-4","CON-00-154555-2","CON-00-154549-2"
"FE1422A","Thai Style Yellow Curry Chicken & Ginger Rice","Kip in Thaise stijl gele curry met gemberrijst","Thai-inspireret gul karry med kylling og ingefærris","Thai-Style Curry Hähnchen mit Ingwerreis","","CON-40-152019-4","CON-00-152043-2","CON-00-152042-2"
"FE1429A","Athenian-Style Feta Chicken","Kip met feta in Atheense stijl","Græsk-inspireret kylling med feta","Hähnchen nach Athener Art mit Feta","","CON-40-154566-4","CON-00-154558-2","CON-00-154559-2"
"FE1439A","Tzatziki Salmon & Lemon Rice","Zalm met tzatziki en citroenrijst","Laks med tzatziki og citronris","Tzatziki-Lachs & Zitronenreis","","CON-40-154571-4","CON-00-155004-2","CON-00-154552-2"
"FE1445A","Ginger Szechuan Chicken & Sesame Cabbage","Szechuan-stijl kip met gember en sesamkool","Sichuan-kylling med ingefær og kål","Ingwer-Szechuan-Hähnchen mit Sesamkohl","","","",""
"FE1451A","West African Style Chicken Peanut Curry","West-Afrikaanse stijl kip-pindacurry","Vestfrikansk-inspireret peanut-kyllingecurry","Westafrikanisches Hähnchen-Erdnuss-Curry","","CON-40-150747-4","CON-00-150749-2","CON-00-150748-2"
"FE1458A","Japanese-Style BBQ Chicken & Cabbage","Japanse stijl BBQ-kip & kool","Japansk-inspireret BBQ-kylling med kål","Japanisches BBQ-Hähnchen & Kohl","","CON-40-156131-4","CON-00-156130-2","CON-00-156129-2"
"FE1465A","Caribbean Mango Salsa Salmon","Caribische stijl zalm met mangosalsa","Laks med mangosalsa i caribisk stil","Karibischer Lachs mit Mangosalsa","","CON-40-152016-4","CON-00-152037-2","CON-00-152036-2"
"FE1487A","Grilled Pork Tenderloin & Butternut Mash","Gegrilde varkenshaas met pompoenpuree","Grillet svinemørbrad med butternutmos","Gegrilltes Schweinefilet mit Butternusskürbispüree","","CON-40-168322-4","CON-00-168315-2","CON-00-168314-2"
"FE1506A","Fajita-Style Shredded Beef & Queso","Fajita-stijl rundvlees & queso","Fajita-inspireret pulled beef & queso","Fajita-Rindfleischstreifen mit Käse-Sauce","","CON-40-150603-4","CON-00-150602-2","CON-00-150601-2"
"FE1512B","Chicken and honey mustard sauce","Kipfilet in honing-mosterd","Kylling med honning-sennepssauce","Hähnchen mit Honig-Senf-Sauce","","CON-40-149873-4","CON-00-149875-2","CON-00-149874-2"
"FE1556A","Santa Fe-Style Potato, Chicken & Pepper Bowl","Santa Fe-stijl aardappel, kip en paprika bowl","Kyllingebowl med Santa Fe-inspirerede kartofler, og peberfrugt","Santa-Fe-Style Bowl mit Kartoffeln, Hähnchen und Paprika","","","",""
"FE1598A","Creamy Caper Chicken","Romige kip met kappertjes","Cremet kylling med kapers","Cremiges Kapern-Hähnchen","","","",""
"FE1633A","Lemon Herb Grilled Chicken","Gegrilde kip met citrus en kruiden","Citron- og urtegrillet kylling","Zitronen-Kräuter-Hähnchen","","CON-40-154568-4","",""
"FE1636A","Green Chile Chicken & Salsa Quinoa","Kip met groene chili en quinoa met salsa","Chilensk inspireret kylling med salsa-quinoa","Grünes Chili-Hähnchen mit Quinoa-Salsa","","CON-40-152209-4","CON-00-152208-2","CON-00-152205-2"
"FE1646A","Shrimp with Lemon Garlic Sauce & Spanakopita Style Rice","Garnalen met citroen-knoflooksaus & spanakopitarijst","Rejer med citron- og hvidløgssauce og spanakopita-inspirerede ris","Garnelen mit Zitronen-Knoblauch-Sauce & Spanakopita-Reis","","CON-40-154567-4","",""
"FE1696A","Tunisian-Spiced Tomato & Chicken Bowl","","","","","","",""
"FE1698A","Chermoula Chicken & Lentils","Kip met chermoula en linzen","Kylling i chermoula-sauce med linser","Chermoula-Hähnchen mit Linsen","","CON-40-154561-4","CON-00-154553-2","CON-00-154546-2"
"FE1712A","Fiery Kung Pao Peanut Chicken","Pittige Kung Pao-kip met pinda","Kung pao-kylling med peanuts","Feuriges Kung-Pao-Hähnchen mit Erdnüssen","","CON-40-155190-4","CON-00-155187-2","CON-00-155186-2"
"FE1731A","Citrus–Miso Salmon Bowl","Citrus–miso zalm bowl","Laksebowl med citrus-miso","Lachs-Bowl mit Zitrus-Miso","","CON-40-154565-4","CON-00-154556-2","CON-00-154547-2"
"FE1776A","Fire-Roasted Tomato & Feta Shrimp","Garnalen met geroosterde tomaat & feta","Rejer med grillede tomater og feta","Feuergeröstete Tomaten- und Feta-Garnelen","","CON-40-154564-4","CON-00-154557-2","CON-00-154550-2"
"FE1777A","Chicken with Puttanesca-style sauce","Kip met saus in Puttanesca-stijl","Kylling med Puttanesca-inspireret sauce","Hähnchen mit Puttanesca-Sauce","","CON-40-168320-4","CON-00-168319-2","CON-00-168318-2"
"FE1787A","Tomato Escabeche Grilled Chicken","Gegrilde kip met tomaten-escabeche","Grilled kylling med tomat-eecabeche","Gegrilltes Hähnchen mit Tomaten-Escabeche","","CON-40-168126-4","CON-00-168128-2","CON-00-168127-2"
